Archivo,Bib_Corredor,Club / Jersey,Gadgets_Detectados,Nivel_Emocion
695789281_122184315806592376_6890575868125742049_n.jpg,No detectado,Genérico / Independiente,Headphones,Agotado
695789281_122184315806592376_6890575868125742049_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Alta Energía / Positiva
695789281_122184315806592376_6890575868125742049_n.jpg,No detectado,Genérico / Independiente,Headphones,Concentrado
697792753_122184316166592376_6617274621736215641_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Concentrado
697792753_122184316166592376_6617274621736215641_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Concentrado
697792753_122184316166592376_6617274621736215641_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Alta Energía / Positiva
697792753_122184316166592376_6617274621736215641_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Alta Energía / Positiva
697792753_122184316166592376_6617274621736215641_n.jpg,No detectado,Genérico / Independiente,Sports sunglasses,Concentrado
688996965_122224084712582925_2826197700649226683_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Concentrado
688996965_122224084712582925_2826197700649226683_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Alta Energía / Positiva
688996965_122224084712582925_2826197700649226683_n.jpg,No detectado,Genérico / Independiente,Sports sunglasses,Concentrado
688996965_122224084712582925_2826197700649226683_n.jpg,1670,Genérico / Independiente,A smartwatch,Concentrado
688996965_122224084712582925_2826197700649226683_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Agotado
688996965_122224084712582925_2826197700649226683_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Concentrado
689478856_122224083230582925_891316308361396515_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Concentrado
689478856_122224083230582925_891316308361396515_n.jpg,1580,Genérico / Independiente,A smartwatch,Concentrado
689478856_122224083230582925_891316308361396515_n.jpg,1669,Genérico / Independiente,A smartwatch,Concentrado
689478856_122224083230582925_891316308361396515_n.jpg,12,Genérico / Independiente,A smartwatch,Agotado
689478856_122224083230582925_891316308361396515_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Concentrado
689478856_122224083230582925_891316308361396515_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Concentrado
689478856_122224083230582925_891316308361396515_n.jpg,01,Genérico / Independiente,A smartwatch,Alta Energía / Positiva
689478856_122224083230582925_891316308361396515_n.jpg,1701,Genérico / Independiente,A smartwatch,Agotado
689010237_122224082990582925_2991378177372979982_n.jpg,741,Genérico / Independiente,A smartwatch,Concentrado
689010237_122224082990582925_2991378177372979982_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Alta Energía / Positiva
689010237_122224082990582925_2991378177372979982_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Concentrado
689010237_122224082990582925_2991378177372979982_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Concentrado
689010237_122224082990582925_2991378177372979982_n.jpg,272,Genérico / Independiente,A smartwatch,Alta Energía / Positiva
689010237_122224082990582925_2991378177372979982_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Alta Energía / Positiva
687634052_122224086230582925_8861789438212400021_n.jpg,2225,Genérico / Independiente,A smartwatch,Alta Energía / Positiva
687634052_122224086230582925_8861789438212400021_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Agotado
687634052_122224086230582925_8861789438212400021_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Concentrado
687634052_122224086230582925_8861789438212400021_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Alta Energía / Positiva
687634052_122224086230582925_8861789438212400021_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Concentrado
687634052_122224086230582925_8861789438212400021_n.jpg,1800,Genérico / Independiente,A smartwatch,Agotado
689001038_122224086998582925_2226492338653474738_n.jpg,2233,Genérico / Independiente,A smartwatch,Alta Energía / Positiva
689001038_122224086998582925_2226492338653474738_n.jpg,552,Genérico / Independiente,A smartwatch,Concentrado
689001038_122224086998582925_2226492338653474738_n.jpg,1279,Genérico / Independiente,A smartwatch,Agotado
689001038_122224086998582925_2226492338653474738_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Agotado
689001038_122224086998582925_2226492338653474738_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Agotado
689001038_122224086998582925_2226492338653474738_n.jpg,No detectado,Genérico / Independiente,Headphones,Agotado
689001038_122224086998582925_2226492338653474738_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Agotado
689001038_122224086998582925_2226492338653474738_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Alta Energía / Positiva
689001038_122224086998582925_2226492338653474738_n.jpg,No detectado,Genérico / Independiente,Headphones,Concentrado
